productId,productDescription
A1B2C3D4E5,Highly efficient ergonomic office chair with lumbar support.
F6G7H8I9J0,Sleek and modern desk organizer with multiple compartments.
K1L2M3N4O5,Executive leather-bound notebook for professional note-taking.
P6Q7R8S9T0,Adjustable standing desk for a healthier work environment.
U1V2W3X4Y5,Noise-cancelling Bluetooth headset for clear conference calls.
Z6A7B8C9D0,Elegant pen and pencil set in a polished wooden case.
E1F2G3H4I5,Compact and powerful desktop computer for multitasking.
J6K7L8M9N0,Stylish desk lamp with adjustable brightness levels.
O1P2Q3R4S5,Portable document scanner for efficient paperless workflows.
T6U7V8W9X0,Conference room whiteboard with magnetic surface for easy use.